args =  Namespace(dataset='band', split='dense', repeat=1, test=False, optruns=100, path='results/', name='jacobi+band', detach=False, savemodel=False, power=False, cheby=False, legendre=False, bern=False, jacobi=True, sole=False, fixalpha=False, multilayer=False, resmultilayer=False)
0.5500, -0.3000, alpha 1.5, lr 0.0500/0.0500/0.0500, wd 0.0001/0.0010/0.0010, loss 2.1694004741
1.0000, 1.3000, alpha 1.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0010/0.0010, loss 1.0974969379
0.2000, -1.0000, alpha 0.5, lr 0.0500/0.0100/0.0500, wd 0.0000/0.0000/0.0001, loss 3.3691182160
-0.4000, 0.5000, alpha 1.5, lr 0.0100/0.0500/0.0010, wd 0.0010/0.0010/0.0001, loss 1.3400726847
1.7000, 0.6000, alpha 1.0, lr 0.0500/0.0050/0.0100, wd 0.0005/0.0010/0.0001, loss 3.2412424131
0.9500, -0.7000, alpha 1.5, lr 0.0050/0.0500/0.0010, wd 0.0001/0.0010/0.0000, loss 11.3077678442
-0.5000, 1.8500, alpha 1.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0005/0.0005, loss 0.0918850629
-0.6500, 1.4500, alpha 1.0, lr 0.0010/0.0100/0.0100, wd 0.0000/0.0005/0.0001, loss 0.0593378978
0.6000, 0.2500, alpha 1.5, lr 0.0050/0.0010/0.0010, wd 0.0001/0.0010/0.0001, loss 16.2141090059
-0.1500, 0.1000, alpha 0.5, lr 0.0050/0.0500/0.0010, wd 0.0001/0.0010/0.0001, loss 11.9096130705
-0.9000, 1.2000, alpha 2.0, lr 0.0010/0.0100/0.0100, wd 0.0005/0.0005/0.0005, loss 0.0196706049
2.0000, -0.3500, alpha 2.0, lr 0.0050/0.0010/0.0500, wd 0.0000/0.0001/0.0000, loss 1.4663429905
-0.9500, 1.2000, alpha 2.0, lr 0.0010/0.0100/0.0100, wd 0.0005/0.0005/0.0005, loss 0.0174971665
-1.0000, 0.9500, alpha 2.0, lr 0.0010/0.0100/0.0050, wd 0.0005/0.0005/0.0005, loss 0.0156220220
-0.8500, 1.2500, alpha 2.0, lr 0.0010/0.0100/0.0100, wd 0.0005/0.0005/0.0005, loss 0.0281979576
-1.0000, 0.9000, alpha 2.0, lr 0.0010/0.0100/0.0050, wd 0.0005/0.0005/0.0005, loss 0.0156248841
-0.1000, 0.8000, alpha 2.0, lr 0.0010/0.0050/0.0050, wd 0.0005/0.0001/0.0005, loss 2.3053953037
0.0000, 0.8500, alpha 2.0, lr 0.0010/0.0100/0.0050, wd 0.0005/0.0005/0.0005, loss 3.3809737708
-0.1500, 1.9500, alpha 2.0, lr 0.0010/0.0100/0.0050, wd 0.0010/0.0000/0.0005, loss 6.7331769353
-0.5500, 0.1500, alpha 1.5, lr 0.0100/0.0100/0.0050, wd 0.0005/0.0005/0.0005, loss 0.0611038496
-1.0000, 1.5500, alpha 1.5, lr 0.0010/0.0050/0.0050, wd 0.0005/0.0005/0.0010, loss 0.0156153241
-0.5000, 1.6500, alpha 1.5, lr 0.0010/0.0100/0.0050, wd 0.0010/0.0000/0.0005, loss 1.7297447757
-1.0000, 1.5500, alpha 1.5, lr 0.0010/0.0050/0.0050, wd 0.0005/0.0005/0.0010, loss 0.0156159905
-1.0000, 0.9000, alpha 2.0, lr 0.0010/0.0050/0.0050, wd 0.0005/0.0005/0.0010, loss 0.0156156568
-0.7500, 1.6000, alpha 1.5, lr 0.0010/0.0050/0.0050, wd 0.0005/0.0005/0.0010, loss 0.1499862103
