args =  Namespace(dataset='comb', split='dense', repeat=1, test=False, optruns=100, path='results/', name='jacobi+comb', detach=False, savemodel=False, power=False, cheby=False, legendre=False, bern=False, jacobi=True, sole=False, fixalpha=False, multilayer=False, resmultilayer=False)
1.0500, -0.7500, alpha 2.0, lr 0.0500/0.0500/0.0010, wd 0.0001/0.0010/0.0010, loss 21.5454567528
0.6500, 1.9500, alpha 0.5, lr 0.0500/0.0100/0.0050, wd 0.0010/0.0005/0.0010, loss 5.9239107299
0.4500, 0.6500, alpha 2.0, lr 0.0500/0.0010/0.0050, wd 0.0005/0.0010/0.0005, loss 5.6090576071
1.0000, 1.0500, alpha 2.0, lr 0.0500/0.0010/0.0010, wd 0.0001/0.0005/0.0000, loss 48.3545808601
-1.0000, -0.1500, alpha 0.5, lr 0.0010/0.0010/0.0050, wd 0.0005/0.0000/0.0010, loss 26.0335620308
1.7000, 1.4000, alpha 0.5, lr 0.0050/0.0050/0.0050, wd 0.0001/0.0000/0.0005, loss 6.1841960788
1.3000, 0.1000, alpha 0.5, lr 0.0100/0.0100/0.0500, wd 0.0005/0.0010/0.0000, loss 2.0845526183
0.9000, -0.8500, alpha 1.0, lr 0.0050/0.0010/0.0100, wd 0.0000/0.0001/0.0010, loss 5.0538430834
-0.4000, 0.8000, alpha 0.5, lr 0.0010/0.0010/0.0050, wd 0.0010/0.0005/0.0010, loss 7.9547289515
0.4500, 1.4000, alpha 0.5, lr 0.0050/0.0500/0.0500, wd 0.0005/0.0010/0.0001, loss 1.2567448628
0.1000, 2.0000, alpha 1.5, lr 0.0050/0.0500/0.0500, wd 0.0000/0.0001/0.0001, loss 7.8024754280
0.5500, 0.1500, alpha 2.0, lr 0.0500/0.0100/0.0100, wd 0.0001/0.0005/0.0001, loss 3.9715340841
1.7000, 0.2000, alpha 1.0, lr 0.0100/0.0100/0.0500, wd 0.0005/0.0010/0.0001, loss 1.9965667015
1.9000, 1.4000, alpha 1.0, lr 0.0100/0.0500/0.0500, wd 0.0005/0.0010/0.0001, loss 5.4642992401
1.7000, 0.0000, alpha 1.0, lr 0.0100/0.0100/0.0500, wd 0.0005/0.0010/0.0000, loss 2.0338089585
0.0500, -0.2500, alpha 1.0, lr 0.0100/0.0050/0.0500, wd 0.0005/0.0010/0.0001, loss 0.4588322523
-0.0500, 1.5000, alpha 1.5, lr 0.0050/0.0050/0.0500, wd 0.0005/0.0010/0.0001, loss 1.1674710828
-0.1500, -0.4000, alpha 1.5, lr 0.0100/0.0050/0.0500, wd 0.0005/0.0010/0.0001, loss 0.3874129853
-0.1500, -0.5000, alpha 1.5, lr 0.0050/0.0050/0.0500, wd 0.0005/0.0010/0.0001, loss 0.5037114437
-0.7000, -0.4000, alpha 1.5, lr 0.0100/0.0050/0.0010, wd 0.0010/0.0001/0.0001, loss 6.1615011376
-0.5500, -0.4500, alpha 1.5, lr 0.0100/0.0050/0.0500, wd 0.0000/0.0000/0.0001, loss 0.2874191546
-0.5000, -0.4500, alpha 1.5, lr 0.0100/0.0050/0.0100, wd 0.0000/0.0000/0.0005, loss 0.3255638382
-0.5500, -0.6000, alpha 1.5, lr 0.0100/0.0050/0.0100, wd 0.0000/0.0000/0.0005, loss 0.3350992979
-0.4500, -1.0000, alpha 1.5, lr 0.0100/0.0050/0.0500, wd 0.0000/0.0000/0.0001, loss 5.2783523655
-0.6000, -1.0000, alpha 1.5, lr 0.0100/0.0050/0.0100, wd 0.0000/0.0000/0.0005, loss 7.1025256658
-1.0000, -0.6500, alpha 1.5, lr 0.0100/0.0050/0.0100, wd 0.0000/0.0000/0.0005, loss 1.2108880925
-1.0000, -0.6500, alpha 1.5, lr 0.0100/0.0050/0.0100, wd 0.0000/0.0000/0.0005, loss 1.1951842177
-0.7500, -0.5500, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0000/0.0000/0.0005, loss 0.4173184940
-0.4000, 0.3000, alpha 1.0, lr 0.0100/0.0050/0.0100, wd 0.0000/0.0000/0.0005, loss 0.3078320345
-0.7500, 0.4000, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0000/0.0000/0.0005, loss 0.2912990182
-0.3000, 0.2500, alpha 1.0, lr 0.0100/0.0050/0.0100, wd 0.0000/0.0000/0.0005, loss 0.3403946775
-0.8000, 0.4000, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0000/0.0000/0.0005, loss 0.3012543943
0.2000, 0.6000, alpha 2.0, lr 0.0010/0.0050/0.0010, wd 0.0000/0.0000/0.0005, loss 19.8755495620
-0.8000, 0.4500, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0000/0.0000/0.0005, loss 0.2961881730
-0.8000, 0.4500, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0000/0.0000/0.0005, loss 0.2962432313
-0.8500, 0.4000, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0000/0.0000/0.0005, loss 0.3031891558
-0.8500, 0.9500, alpha 2.0, lr 0.0010/0.0500/0.0100, wd 0.0000/0.0000/0.0005, loss 0.2883037449
