args =  Namespace(dataset='high', split='dense', repeat=1, test=False, optruns=100, path='results/', name='jacobi+high', detach=False, savemodel=False, power=False, cheby=False, legendre=False, bern=False, jacobi=True, sole=False, fixalpha=False, multilayer=False, resmultilayer=False)
0.7500, 0.1000, alpha 1.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0010/0.0010, loss 0.0948093304
1.0000, 1.2000, alpha 1.0, lr 0.0050/0.0050/0.0010, wd 0.0010/0.0000/0.0000, loss 31.3607864285
-0.1000, 1.4000, alpha 2.0, lr 0.0050/0.0010/0.0050, wd 0.0001/0.0005/0.0001, loss 3.9940334768
1.9000, -0.7500, alpha 1.0, lr 0.0050/0.0500/0.0500, wd 0.0005/0.0001/0.0010, loss 0.2966724284
0.0500, 0.1000, alpha 1.0, lr 0.0100/0.0500/0.0500, wd 0.0000/0.0001/0.0005, loss 0.0092718873
-0.8000, 0.4000, alpha 1.5, lr 0.0100/0.0100/0.0050, wd 0.0000/0.0005/0.0010, loss 0.0634540178
-0.1000, 1.5500, alpha 1.0, lr 0.0100/0.0050/0.0500, wd 0.0001/0.0005/0.0001, loss 0.0497178149
-0.0500, 1.0500, alpha 1.5, lr 0.0500/0.0500/0.0100, wd 0.0001/0.0000/0.0005, loss 0.7040883486
1.2000, 0.6000, alpha 2.0, lr 0.0500/0.0010/0.0050, wd 0.0001/0.0000/0.0010, loss 8.6866216731
1.1000, -0.7500, alpha 0.5, lr 0.0500/0.0010/0.0010, wd 0.0010/0.0001/0.0000, loss 34.4501688766
-0.6000, 0.9500, alpha 1.5, lr 0.0050/0.0010/0.0050, wd 0.0010/0.0005/0.0010, loss 0.0467546467
-0.9000, -0.1500, alpha 0.5, lr 0.0010/0.0500/0.0100, wd 0.0000/0.0001/0.0005, loss 1.0771317327
-0.4500, 0.8000, alpha 1.5, lr 0.0100/0.0100/0.0050, wd 0.0010/0.0010/0.0005, loss 0.1433289792
-0.9500, 0.0000, alpha 0.5, lr 0.0010/0.0500/0.0100, wd 0.0000/0.0001/0.0005, loss 1.1695404476
0.3500, 1.9500, alpha 1.0, lr 0.0010/0.0500/0.0500, wd 0.0000/0.0001/0.0005, loss 0.6534616950
-0.4500, 0.3500, alpha 2.0, lr 0.0050/0.0010/0.0050, wd 0.0010/0.0005/0.0010, loss 0.0677143040
0.3000, -0.4000, alpha 1.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0005/0.0010, loss 0.0319224042
0.3000, -0.2500, alpha 1.5, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0005/0.0000, loss 0.0454474609
1.5000, -0.4000, alpha 1.0, lr 0.0100/0.0100/0.0500, wd 0.0000/0.0010/0.0001, loss 0.1237126052
0.3500, -0.3500, alpha 1.0, lr 0.0100/0.0100/0.0500, wd 0.0000/0.0010/0.0001, loss 0.0345391178
0.6500, -0.5500, alpha 0.5, lr 0.0100/0.0500/0.0500, wd 0.0000/0.0001/0.0005, loss 0.0331275598
0.5500, -0.9000, alpha 0.5, lr 0.0100/0.0500/0.0500, wd 0.0000/0.0001/0.0005, loss 0.0532279916
0.7500, -1.0000, alpha 0.5, lr 0.0100/0.0500/0.0500, wd 0.0000/0.0001/0.0005, loss 0.0829170506
0.7000, -0.6000, alpha 0.5, lr 0.0100/0.0500/0.0500, wd 0.0000/0.0001/0.0005, loss 0.0358160322
0.1000, 0.1500, alpha 1.0, lr 0.0100/0.0500/0.0010, wd 0.0005/0.0001/0.0005, loss 16.3593058205
0.0500, -0.6000, alpha 0.5, lr 0.0100/0.0500/0.0500, wd 0.0000/0.0001/0.0005, loss 0.0336950344
0.1000, -0.5500, alpha 1.0, lr 0.0100/0.0500/0.0500, wd 0.0000/0.0001/0.0005, loss 0.0689521704
-0.2500, -0.1500, alpha 1.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0005/0.0010, loss 0.0032355607
-0.3000, -0.1000, alpha 1.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0005/0.0010, loss 0.0027111749
-0.4000, -0.1000, alpha 1.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0005/0.0010, loss 0.0009010753
-0.3000, -0.0500, alpha 1.5, lr 0.0010/0.0010/0.0010, wd 0.0005/0.0005/0.0010, loss 14.2576715982
-0.3000, 0.1000, alpha 1.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0005/0.0010, loss 0.0029697962
-0.3500, 0.2000, alpha 1.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0005/0.0010, loss 0.0012792496
-0.6500, 0.2000, alpha 1.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0005/0.0010, loss 0.0012458000
-0.7000, 0.6000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0010, loss 0.0003946792
-0.6000, 0.2500, alpha 1.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0005/0.0010, loss 0.0006885002
-0.7000, 0.6000, alpha 1.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0005/0.0010, loss 0.0009637390
-0.7500, 0.6500, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0005/0.0010, loss 0.0005523054
-0.6500, 0.6500, alpha 1.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0005/0.0010, loss 0.0017807206
-1.0000, 0.8000, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0010, loss 0.0004843671
-1.0000, 1.3000, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0004449905
-1.0000, 0.4500, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0028181692
-1.0000, 1.3000, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0003034418
-0.8000, 1.3500, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0224849839
-0.8500, 1.2500, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0055560040
-0.8500, 1.1500, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0079334140
-1.0000, 0.9000, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0014530356
-1.0000, 1.1000, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0004819501
-0.7500, 1.6000, alpha 2.0, lr 0.0500/0.0050/0.0100, wd 0.0001/0.0000/0.0000, loss 0.0463879636
-0.5500, 1.5000, alpha 2.0, lr 0.0050/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.2674679704
-0.5500, 1.5500, alpha 2.0, lr 0.0050/0.0050/0.0100, wd 0.0001/0.0000/0.0000, loss 0.2645572645
-1.0000, 1.8000, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0003901515
-1.0000, 0.7500, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0003513581
-1.0000, 1.8000, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0005909480
-0.9000, 1.0500, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0022045172
-0.9000, 1.8000, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0116812605
-0.8500, 1.9000, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0447506797
-0.5000, 1.3500, alpha 2.0, lr 0.0500/0.0050/0.0050, wd 0.0010/0.0000/0.0000, loss 0.6154159257
0.9000, 1.4000, alpha 2.0, lr 0.0500/0.0050/0.0050, wd 0.0010/0.0000/0.0000, loss 14.0829759866
1.5000, 0.8000, alpha 2.0, lr 0.0010/0.0100/0.0010, wd 0.0005/0.0010/0.0000, loss 50.0467109585
-0.7500, 1.1000, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0001, loss 0.0105040984
-1.0000, 0.9000, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0002522513
-0.7500, 0.8000, alpha 1.5, lr 0.0010/0.0100/0.0010, wd 0.0005/0.0010/0.0001, loss 3.9118793043
-0.9000, 0.9500, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0006706885
-1.0000, 1.2000, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0002498539
-0.9000, 0.9500, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0002987621
-0.1500, 1.2500, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0001/0.0000/0.0000, loss 0.3991265203
-0.8500, 0.3500, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0394519296
-0.1500, 0.5500, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0001/0.0000/0.0000, loss 0.1198999314
-0.6500, 0.9500, alpha 1.5, lr 0.0050/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0090861035
-0.4500, 0.7000, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0228051968
-0.6500, 0.9500, alpha 1.5, lr 0.0050/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0154787179
-0.9500, 1.6500, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0024785834
-0.8000, 1.3000, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0108048669
-0.8000, 1.2000, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0090290343
-0.9000, 1.0500, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0007368754
-0.9500, 0.7000, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0010/0.0010/0.0001, loss 0.0050727388
1.9500, 1.4500, alpha 1.5, lr 0.0010/0.0050/0.0050, wd 0.0005/0.0010/0.0001, loss 26.1523009086
1.9500, 0.5000, alpha 1.5, lr 0.0010/0.0100/0.0050, wd 0.0005/0.0000/0.0000, loss 10.4524347543
-0.7000, 1.7000, alpha 2.0, lr 0.0010/0.0050/0.0010, wd 0.0005/0.0000/0.0000, loss 3.0259852899
-0.7000, 1.7000, alpha 1.5, lr 0.0010/0.0100/0.0010, wd 0.0005/0.0000/0.0000, loss 3.1491804971
-1.0000, 0.8500, alpha 1.5, lr 0.0500/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0004749326
-1.0000, 0.9000, alpha 1.5, lr 0.0500/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0004667165
-1.0000, 0.8500, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0006837776
-0.9000, 1.0000, alpha 1.5, lr 0.0500/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0005021858
-0.8000, 1.1500, alpha 1.5, lr 0.0500/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0086819041
-0.8500, 1.0000, alpha 1.5, lr 0.0500/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0034187965
-0.9500, 2.0000, alpha 1.0, lr 0.0500/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0033168260
-0.5500, 0.7000, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0171219237
-0.9500, 0.7000, alpha 1.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0000/0.0000, loss 0.0056790126
-0.9500, 1.2000, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0005/0.0000, loss 0.0003687500
-0.9000, 1.2000, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0005/0.0000, loss 0.0021396770
-0.6000, 1.2000, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0010/0.0005/0.0000, loss 0.0423227536
-0.8000, 1.4500, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0005/0.0000, loss 0.0200304088
-1.0000, 1.3000, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0005/0.0000, loss 0.0003594183
-1.0000, 1.4000, alpha 1.5, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0005/0.0000, loss 0.0002516246
-0.7000, 1.3500, alpha 1.5, lr 0.0010/0.0500/0.0100, wd 0.0005/0.0005/0.0010, loss 0.0295993843
-0.8500, 1.1000, alpha 1.5, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0005, loss 0.0002514940
