args =  Namespace(dataset='low', split='dense', repeat=1, test=False, optruns=100, path='results/', name='jacobi+low', detach=False, savemodel=False, power=False, cheby=False, legendre=False, bern=False, jacobi=True, sole=False, fixalpha=False, multilayer=False, resmultilayer=False)
0.8500, 0.9500, alpha 1.0, lr 0.0500/0.0100/0.0500, wd 0.0005/0.0010/0.0000, loss 0.1795175284
-0.9000, 1.3500, alpha 1.0, lr 0.0500/0.0500/0.0100, wd 0.0001/0.0001/0.0010, loss 0.6067937860
-0.4000, -0.1500, alpha 1.0, lr 0.0050/0.0050/0.0100, wd 0.0005/0.0010/0.0000, loss 1.0704822133
0.6500, 1.7500, alpha 1.5, lr 0.0050/0.0010/0.0500, wd 0.0000/0.0001/0.0001, loss 0.7733385882
0.7500, 1.5000, alpha 2.0, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0000/0.0001, loss 5.7495947790
1.2000, 0.7500, alpha 1.0, lr 0.0100/0.0500/0.0010, wd 0.0000/0.0005/0.0001, loss 5.6632949196
0.5000, 1.2500, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0010/0.0010, loss 0.4689977254
0.5500, 1.4500, alpha 1.5, lr 0.0500/0.0050/0.0050, wd 0.0000/0.0005/0.0001, loss 3.1331438485
1.7500, 1.2000, alpha 1.5, lr 0.0100/0.0500/0.0100, wd 0.0001/0.0000/0.0000, loss 4.0996376717
-0.8000, 1.9000, alpha 1.0, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0005/0.0001, loss 10.2911660004
-0.4500, -0.2500, alpha 2.0, lr 0.0500/0.0500/0.0100, wd 0.0010/0.0001/0.0005, loss 0.4191276321
2.0000, -0.8500, alpha 0.5, lr 0.0010/0.0100/0.0500, wd 0.0005/0.0010/0.0005, loss 1.0526031121
-0.1500, 0.1000, alpha 0.5, lr 0.0500/0.0100/0.0010, wd 0.0010/0.0001/0.0005, loss 21.2154393101
-0.1500, -0.9000, alpha 0.5, lr 0.0500/0.0100/0.0500, wd 0.0005/0.0010/0.0005, loss 1.5177722151
-0.3000, 0.5500, alpha 2.0, lr 0.0500/0.0100/0.0100, wd 0.0005/0.0001/0.0005, loss 1.2082981600
