args =  Namespace(dataset='rejection', split='dense', repeat=1, test=False, optruns=100, path='results/', name='jacobi+rejection', detach=False, savemodel=False, power=False, cheby=False, legendre=False, bern=False, jacobi=True, sole=False, fixalpha=False, multilayer=False, resmultilayer=False)
0.4000, 2.0000, alpha 2.0, lr 0.0500/0.0050/0.0010, wd 0.0001/0.0001/0.0000, loss 58.4917843819
1.8500, 0.5500, alpha 1.0, lr 0.0500/0.0500/0.0100, wd 0.0000/0.0005/0.0000, loss 6.9068488727
0.2500, -0.7000, alpha 0.5, lr 0.0500/0.0010/0.0500, wd 0.0005/0.0001/0.0005, loss 8.6703960061
1.6000, 1.1500, alpha 1.0, lr 0.0010/0.0010/0.0050, wd 0.0010/0.0010/0.0001, loss 8.0623188850
-0.1500, -0.1500, alpha 0.5, lr 0.0010/0.0050/0.0050, wd 0.0010/0.0005/0.0000, loss 13.4561700964
0.8500, 1.7000, alpha 1.5, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0010/0.0010, loss 2.7863329396
1.8500, 1.9500, alpha 1.0, lr 0.0050/0.0050/0.0100, wd 0.0005/0.0005/0.0001, loss 7.5967053801
0.7500, 1.6500, alpha 0.5, lr 0.0050/0.0500/0.0500, wd 0.0001/0.0001/0.0010, loss 4.7391842771
1.4000, 0.7500, alpha 0.5, lr 0.0500/0.0100/0.0100, wd 0.0010/0.0001/0.0005, loss 9.5170333099
0.5500, 0.3500, alpha 1.5, lr 0.0500/0.0100/0.0100, wd 0.0005/0.0005/0.0010, loss 5.6680496951
-1.0000, 1.2000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0010/0.0010, loss 0.0156153651
0.0500, 1.4000, alpha 1.0, lr 0.0500/0.0100/0.0010, wd 0.0000/0.0010/0.0001, loss 59.0438726044
-0.7000, 1.2000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0010/0.0010, loss 0.0467410992
-1.0000, 1.2500, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0010/0.0010, loss 0.0156153549
-0.9500, 0.9000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0000/0.0010, loss 0.0156388923
-0.5000, 0.2000, alpha 1.5, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0010/0.0010, loss 0.0287134373
-1.0000, 0.8500, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0000/0.0010, loss 0.0156154633
-0.3500, 1.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0000/0.0010, loss 0.1709380416
-0.7000, 1.4500, alpha 1.5, lr 0.0100/0.0500/0.0050, wd 0.0001/0.0010/0.0005, loss 5.3333350690
-0.3000, -0.1000, alpha 1.5, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0010/0.0010, loss 0.2065524623
-0.3000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0010, wd 0.0000/0.0010/0.0010, loss 70.0271519852
-0.9500, 0.6500, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0000/0.0010, loss 0.0401125344
1.1000, 1.4000, alpha 2.0, lr 0.0050/0.0010/0.0010, wd 0.0000/0.0010/0.0010, loss 69.9145699310
-1.0000, 1.3000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0000/0.0010, loss 0.0156153350
-0.6500, 1.7000, alpha 1.5, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0000/0.0010, loss 0.1911734975
-0.7000, 0.9500, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0000/0.0010, loss 0.0336936222
-0.8000, 1.1500, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0000/0.0010, loss 0.0309402566
-0.0500, -1.0000, alpha 1.5, lr 0.0100/0.0050/0.0500, wd 0.0005/0.0010/0.0005, loss 5.4927192897
0.0000, 1.2500, alpha 2.0, lr 0.0100/0.0500/0.0500, wd 0.0005/0.0010/0.0000, loss 5.3517521790
-0.4500, 1.5000, alpha 2.0, lr 0.0100/0.0500/0.0050, wd 0.0010/0.0010/0.0001, loss 6.5258888060
-1.0000, 0.4000, alpha 1.5, lr 0.0050/0.0100/0.0100, wd 0.0001/0.0005/0.0000, loss 0.0193154385
-0.5000, 0.4000, alpha 1.5, lr 0.0010/0.0100/0.0050, wd 0.0010/0.0005/0.0001, loss 6.1159871323
-0.9000, 0.8500, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0000/0.0010, loss 0.0156681140
-1.0000, 0.6000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0000/0.0010, loss 0.0156166594
-0.9000, 0.7500, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0000/0.0010, loss 0.0212045814
-0.6000, 1.0500, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0000/0.0010, loss 0.0750127272
0.3000, 1.2500, alpha 2.0, lr 0.0010/0.0050/0.0010, wd 0.0000/0.0001/0.0000, loss 44.6858796024
0.2500, 1.0500, alpha 2.0, lr 0.0100/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 1.5219653589
-0.8000, 1.7500, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0001/0.0000/0.0005, loss 0.0731868801
-0.8000, -0.4000, alpha 1.5, lr 0.0500/0.0010/0.0500, wd 0.0000/0.0000/0.0010, loss 0.7753366972
-0.7500, 1.9000, alpha 2.0, lr 0.0500/0.0010/0.0500, wd 0.0001/0.0000/0.0005, loss 0.1355159432
-0.1500, 1.9500, alpha 1.0, lr 0.0050/0.0010/0.0100, wd 0.0010/0.0010/0.0010, loss 4.7732624635
-0.9500, 0.6000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0000/0.0010, loss 0.0740537368
-1.0000, 1.5500, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0000/0.0010, loss 0.0156152966
-0.5500, 0.6000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0000/0.0010, loss 0.0317388333
-0.5500, 1.6000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0000/0.0010, loss 0.2000282089
-0.8500, 1.4000, alpha 0.5, lr 0.0100/0.0500/0.0050, wd 0.0005/0.0001/0.0010, loss 9.4903805685
-0.8500, 1.3500, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0000/0.0001/0.0010, loss 0.0289746031
-1.0000, 1.3000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0156152292
1.8000, 1.5500, alpha 1.5, lr 0.0010/0.0100/0.0100, wd 0.0000/0.0005/0.0001, loss 10.3948989213
-0.4000, 1.5500, alpha 1.5, lr 0.0010/0.0100/0.0100, wd 0.0000/0.0005/0.0001, loss 4.7765392856
-0.4000, 1.7500, alpha 2.0, lr 0.0010/0.0010/0.0010, wd 0.0000/0.0005/0.0001, loss 74.9466703343
-1.0000, 1.1500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0156152297
-1.0000, 1.1500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0156152290
-0.6500, 1.3000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0797603553
-1.0000, 1.3000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0156152282
-1.0000, 1.0500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0156152294
0.5500, 1.1500, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0010/0.0005/0.0001, loss 2.3507051216
0.7500, 1.8500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 4.2929858417
1.0500, 0.7500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 2.0052891145
-0.7000, 1.1000, alpha 1.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0005/0.0001, loss 0.1986401992
-0.7000, 1.0500, alpha 1.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0005/0.0001, loss 0.1931949361
-0.8500, 0.9500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0193608343
-1.0000, 1.4500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0156152290
-0.8500, 1.4500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0395368177
