args =  Namespace(dataset='high', split='dense', repeat=1, test=False, optruns=100, path='results/', name='legendre+high', detach=False, savemodel=False, power=False, cheby=False, legendre=True, bern=False, jacobi=False, sole=False, fixalpha=False, multilayer=False, resmultilayer=False)
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0050/0.0100, wd 0.0010/0.0001/0.0010, loss 0.2451021952
0.0000, 0.0000, alpha 1.5, lr 0.0050/0.0100/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0136914366
0.0000, 0.0000, alpha 0.5, lr 0.0050/0.0500/0.0010, wd 0.0005/0.0010/0.0005, loss 17.7042870998
0.0000, 0.0000, alpha 0.5, lr 0.0100/0.0100/0.0500, wd 0.0005/0.0010/0.0000, loss 0.0279246602
0.0000, 0.0000, alpha 1.0, lr 0.0500/0.0500/0.0100, wd 0.0001/0.0010/0.0010, loss 0.0801439504
0.0000, 0.0000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0005/0.0000/0.0005, loss 0.7193889084
0.0000, 0.0000, alpha 0.5, lr 0.0100/0.0500/0.0100, wd 0.0000/0.0005/0.0001, loss 0.1988189344
0.0000, 0.0000, alpha 1.0, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0078698875
0.0000, 0.0000, alpha 1.5, lr 0.0100/0.0050/0.0100, wd 0.0005/0.0000/0.0001, loss 0.1634727153
0.0000, 0.0000, alpha 2.0, lr 0.0500/0.0100/0.0010, wd 0.0000/0.0000/0.0005, loss 13.3094189179
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0050/0.0050, wd 0.0010/0.0010/0.0010, loss 0.8734783003
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0067966704
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0061303648
0.0000, 0.0000, alpha 1.0, lr 0.0050/0.0100/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0080691919
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0065768941
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0010/0.0500, wd 0.0001/0.0005/0.0000, loss 0.0068018323
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0048446803
0.0000, 0.0000, alpha 1.5, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0125331545
0.0000, 0.0000, alpha 0.5, lr 0.0010/0.0050/0.0050, wd 0.0001/0.0001/0.0000, loss 1.5920183635
0.0000, 0.0000, alpha 1.5, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0123624938
0.0000, 0.0000, alpha 1.5, lr 0.0010/0.0010/0.0010, wd 0.0001/0.0005/0.0000, loss 23.6798542106
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0057847327
0.0000, 0.0000, alpha 0.5, lr 0.0010/0.0010/0.0010, wd 0.0001/0.0005/0.0000, loss 29.7733704281
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0070918996
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0010/0.0001/0.0001, loss 0.0067185346
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0052585649
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0069717824
0.0000, 0.0000, alpha 0.5, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0479736011
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0059454261
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0500/0.0050, wd 0.0001/0.0000/0.0000, loss 0.4673823322
0.0000, 0.0000, alpha 1.5, lr 0.0050/0.0050/0.0100, wd 0.0010/0.0001/0.0001, loss 0.1614470655
0.0000, 0.0000, alpha 1.5, lr 0.0050/0.0500/0.0050, wd 0.0010/0.0000/0.0005, loss 0.6783051256
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0074900334
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0064765689
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0047396690
0.0000, 0.0000, alpha 0.5, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0410537178
0.0000, 0.0000, alpha 1.0, lr 0.0500/0.0100/0.0500, wd 0.0001/0.0010/0.0005, loss 0.0068866085
0.0000, 0.0000, alpha 0.5, lr 0.0010/0.0100/0.0500, wd 0.0000/0.0010/0.0000, loss 0.0243741471
0.0000, 0.0000, alpha 0.5, lr 0.0010/0.0050/0.0010, wd 0.0001/0.0001/0.0000, loss 30.1291710711
