args =  Namespace(dataset='low', split='dense', repeat=1, test=False, optruns=100, path='results/', name='legendre+low', detach=False, savemodel=False, power=False, cheby=False, legendre=True, bern=False, jacobi=False, sole=False, fixalpha=False, multilayer=False, resmultilayer=False)
0.0000, 0.0000, alpha 1.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0762616551
0.0000, 0.0000, alpha 1.0, lr 0.0500/0.0100/0.0010, wd 0.0000/0.0001/0.0010, loss 15.9903217053
0.0000, 0.0000, alpha 1.5, lr 0.0010/0.0500/0.0100, wd 0.0005/0.0005/0.0005, loss 1.3826398815
0.0000, 0.0000, alpha 1.0, lr 0.0050/0.0500/0.0100, wd 0.0005/0.0000/0.0005, loss 0.9874052258
0.0000, 0.0000, alpha 1.5, lr 0.0010/0.0010/0.0050, wd 0.0010/0.0000/0.0005, loss 2.7601328841
0.0000, 0.0000, alpha 1.0, lr 0.0050/0.0100/0.0010, wd 0.0010/0.0010/0.0000, loss 18.5108168477
0.0000, 0.0000, alpha 1.5, lr 0.0100/0.0500/0.0010, wd 0.0010/0.0005/0.0001, loss 9.3125553474
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0010/0.0050, wd 0.0000/0.0001/0.0001, loss 3.9527308567
0.0000, 0.0000, alpha 2.0, lr 0.0050/0.0500/0.0500, wd 0.0010/0.0001/0.0010, loss 0.5002876869
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0500/0.0010, wd 0.0000/0.0010/0.0000, loss 7.8439121126
0.0000, 0.0000, alpha 2.0, lr 0.0010/0.0500/0.0010, wd 0.0001/0.0005/0.0001, loss 7.0009187454
0.0000, 0.0000, alpha 0.5, lr 0.0500/0.0050/0.0500, wd 0.0001/0.0005/0.0000, loss 0.9777858317
0.0000, 0.0000, alpha 2.0, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0912776849
0.0000, 0.0000, alpha 2.0, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0806541686
0.0000, 0.0000, alpha 2.0, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0881443875
0.0000, 0.0000, alpha 1.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0543881331
0.0000, 0.0000, alpha 1.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0001/0.0000, loss 0.0727896706
0.0000, 0.0000, alpha 1.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0600460547
0.0000, 0.0000, alpha 0.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 1.0902196837
0.0000, 0.0000, alpha 0.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0010/0.0000, loss 1.0265435758
0.0000, 0.0000, alpha 1.5, lr 0.0100/0.0050/0.0100, wd 0.0001/0.0005/0.0000, loss 1.0955110446
0.0000, 0.0000, alpha 1.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0543881331
0.0000, 0.0000, alpha 1.5, lr 0.0100/0.0010/0.0100, wd 0.0001/0.0005/0.0000, loss 0.9537327611
0.0000, 0.0000, alpha 1.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0667489199
0.0000, 0.0000, alpha 1.0, lr 0.0500/0.0100/0.0050, wd 0.0005/0.0005/0.0000, loss 3.3262641595
0.0000, 0.0000, alpha 1.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0597915401
0.0000, 0.0000, alpha 1.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0000/0.0000, loss 0.0816390408
0.0000, 0.0000, alpha 1.0, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0676656678
0.0000, 0.0000, alpha 1.0, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0000/0.0000, loss 0.0805611845
0.0000, 0.0000, alpha 1.5, lr 0.0050/0.0050/0.0500, wd 0.0000/0.0005/0.0005, loss 0.0840665290
0.0000, 0.0000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0005/0.0005/0.0001, loss 2.9190976078
